_id,Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,Toyota,Used,Diesel,1,Prado,2100000,Karachi,Cash,1997
2,Suzuki,Used,Petrol,100000,Bolan,380000,Karachi,Cash,2006
3,Suzuki,Used,CNG,12345,Bolan,340000,Karachi,Cash,1998
4,Suzuki,Used,Petrol,94000,Alto,535000,Karachi,Cash,2010
5,Toyota,Used,Petrol,100000,Corolla XLI,1430000,Karachi,Cash,2013
6,Toyota,Used,Petrol,80000,Corrolla Altis,1620000,Karachi,Cash,2012
7,Suzuki,New,CNG,65000,Cultus VXL,450000,Karachi,Cash,2006
8,Toyota,New,Petrol,10241,Corrolla Altis,2900000,Karachi,Cash,2017
9,Suzuki,Used,CNG,83000,Alto,490000,Karachi,Cash,2009
10,Honda,Used,Petrol,1,Civic VTi,480000,Karachi,Cash,1997
11,Suzuki,Used,CNG,123,Khyber,230000,Karachi,Cash,1994
12,Suzuki,Used,CNG,73000,Liana,535000,Karachi,Cash,2006
13,Toyota,Used,Petrol,78000,Passo,770000,Karachi,Cash,2006
14,Honda,Used,Petrol,1,Civic Prosmetic,490000,Karachi,Cash,1997
15,Honda,Used,CNG,170000,Civic EXi,160000,Karachi,Cash,1984
16,Suzuki,Used,Petrol,200000,Alto,425000,Karachi,Cash,2005
17,Daihatsu,Used,Petrol,100000,Charade,180000,Karachi,Cash,1988
18,Mitsubishi,Used,Petrol,82000,Pajero Mini,520000,Karachi,Cash,1995
19,Suzuki,Used,CNG,10000,Margalla,400000,Karachi,Cash,1990
20,Honda,Used,Petrol,69500,City IVTEC,1400000,Karachi,Cash,2014
21,Suzuki,Used,CNG,10000,Khyber,175000,Karachi,Cash,1989
22,KIA,Used,CNG,123456,Classic,120000,Karachi,Cash,2001
23,Honda,Used,CNG,87611,Civic EXi,590000,Karachi,Cash,2000
24,Honda,Used,Hybrid,19000,Other,425000,Karachi,Cash,1995
25,Honda,Used,CNG,99000,Civic EXi,685000,Karachi,Cash,2005
26,Suzuki,Used,CNG,88000,Alto,465000,Karachi,Cash,2007
27,Toyota,Used,Petrol,75000,Corolla GLI,1190000,Karachi,Cash,2010
28,Other Brands,Used,Petrol,124000,Other,850000,Karachi,Cash,2010
29,Suzuki,Used,CNG,76000,Cultus VXR,370000,Karachi,Cash,2002
30,Nissan,New,Petrol,47000,Dayz Highway Star,1175000,Karachi,Cash,2013
31,Toyota,New,Petrol,43000,Corolla XLI,1675000,Karachi,Cash,2015
32,Suzuki,Used,CNG,3875,Mehran VX,195000,Karachi,Cash,1999
33,Suzuki,Used,CNG,98000,Mehran VX,165000,Karachi,Cash,1991
34,Suzuki,Used,Petrol,1000,Alto,420000,Karachi,Cash,2006
35,Toyota,Used,Petrol,39000,Vitz,1430000,Karachi,Cash,2014
36,Suzuki,Used,CNG,127000,Mehran VXR,150000,Karachi,Cash,1991
37,Suzuki,Used,LPG,786,Carry,130000,Karachi,Cash,1982
38,Suzuki,Used,CNG,70,Cultus VXR,415000,Karachi,Cash,2004
39,Suzuki,Used,CNG,99999,Mehran VX,185000,Karachi,Cash,1997
40,Toyota,Used,Petrol,89000,Passo,1040000,Karachi,Cash,2010
41,Suzuki,Used,CNG,1,Cultus VX,400000,Karachi,Cash,2002
42,Suzuki,Used,Petrol,100000,Cultus VXR,360000,Karachi,Cash,2001
43,Toyota,New,Petrol,69000,Vitz,1150000,Karachi,Cash,2003
44,Suzuki,New,CNG,65000,Mehran VX,265000,Karachi,Cash,2005
45,Suzuki,New,CNG,73000,Mehran VXR,435000,Karachi,Cash,2009
46,Toyota,Used,Petrol,163000,Corolla GLI,1220000,Karachi,Cash,2009
47,Suzuki,Used,CNG,56,Cultus VXR,780000,Karachi,Cash,2011
48,Suzuki,Used,CNG,10000,Bolan,250000,Karachi,Cash,1987
49,Toyota,Used,Petrol,190,Corrolla Altis,875000,Karachi,Cash,2004
50,Toyota,Used,CNG,65000,Corolla XLI,1260000,Karachi,Cash,2013
51,Suzuki,Used,Petrol,65000,Cultus VXR,840000,Karachi,Cash,2013
52,Suzuki,Used,CNG,174000,Alto,350000,Karachi,Cash,2004
53,Suzuki,Used,Petrol,5458,Baleno,380000,Karachi,Cash,2001
54,Suzuki,Used,Petrol,90000,Alto,340000,Karachi,Cash,2007
55,Daihatsu,Used,Petrol,88000,Mira,1050000,Karachi,Cash,2013
56,Toyota,Used,CNG,200000,Vitz,730000,Karachi,Cash,2006
57,Suzuki,Used,CNG,28800,Mehran VXR,195000,Karachi,Cash,1995
58,Honda,New,Petrol,95000,Civic VTi Oriel Prosmatec,1070000,Karachi,Cash,2007
59,Daihatsu,Used,CNG,71000,Cuore,410000,Karachi,Cash,2001
60,Daihatsu,Used,CNG,100,Charade,155000,Karachi,Cash,1984
61,Suzuki,Used,CNG,1,Margalla,320000,Karachi,Cash,1994
62,Toyota,Used,Diesel,134000,Corolla 2.0 D,1080000,Karachi,Cash,2010
63,Suzuki,Used,CNG,1,Bolan,290000,Karachi,Cash,1993
64,Toyota,Used,Petrol,123456,Corolla XE,570000,Karachi,Cash,1998
